CustomerID,Country,Avg_Recency_Days,Number_of_Invoices,Total_Revenue,R_score,F_score,M_score,RFM_Score
12410.0,Switzerland,0.0,2,693.3299999999999,5,2,3,523
12412.0,Denmark,1.55,3,1226.88,3,3,4,334
12413.0,France,7.27,3,758.1,1,3,3,133
12414.0,Austria,5.41,3,562.41,1,3,3,133
12415.0,Australia,0.42,21,124914.53,4,5,5,455
12417.0,Belgium,1.76,8,3212.8,2,5,5,255
12417.0,Spain,2.39,1,436.3,2,1,2,212
12418.0,Switzerland,0.0,1,668.58,5,1,3,513
12420.0,Cyprus,0.0,1,600.39,5,1,3,513
12421.0,Spain,6.84,4,807.04,1,4,3,143
12422.0,Australia,3.6,2,386.2,2,2,2,222
12422.0,Switzerland,8.67,1,417.36,1,1,2,112
12423.0,Belgium,2.81,8,1859.31,2,5,4,254
12424.0,Australia,0.0,2,1760.96,5,2,4,524
12425.0,Portugal,0.0,1,777.2,5,1,3,513
12426.0,Germany,0.0,1,582.73,5,1,3,513
12427.0,Germany,11.63,3,825.8,1,3,3,133
12428.0,Finland,0.87,9,7956.46,3,5,5,355
12429.0,Austria,6.52,1,437.98,1,1,2,112
12429.0,Denmark,2.91,3,3312.42,2,3,5,235
12430.0,Norway,0.0,1,256.4,5,1,2,512
12431.0,Australia,1.72,13,5514.67,2,5,5,255
12431.0,Belgium,0.43,2,972.78,4,2,4,424
12432.0,Norway,1.2,5,5059.32,3,4,5,345
12433.0,Norway,0.88,7,13375.87,3,5,5,355
12434.0,Australia,3.57,2,806.14,2,2,3,223
12435.0,Denmark,5.37,2,7829.89,1,2,5,125
12436.0,Norway,0.0,1,509.01,5,1,3,513
12437.0,France,1.63,18,4951.41,3,5,5,355
12438.0,Norway,1.29,2,2906.85,3,2,5,325
12441.0,France,0.0,1,173.55,5,1,1,511
12442.0,Spain,0.0,1,172.06,5,1,1,511
12444.0,Norway,0.85,5,5005.46,3,4,5,345
12445.0,Spain,0.0,1,133.4,5,1,1,511
12446.0,RSA,0.0,1,1002.3100000000001,5,1,4,514
12447.0,Belgium,0.0,1,476.49,5,1,2,512
12448.0,Spain,0.0,1,449.45,5,1,2,512
12449.0,Belgium,0.86,4,4067.29,3,4,5,345
12450.0,Spain,2.43,2,197.88,2,2,1,221
12451.0,Switzerland,0.88,5,9035.52,3,4,5,345
12452.0,Switzerland,0.0,2,430.57,5,2,2,522
12453.0,Austria,0.0,1,707.09,5,1,3,513
12454.0,Spain,0.0,1,3528.34,5,1,5,515
12455.0,Cyprus,0.02,2,1698.9,4,2,4,424
12455.0,Spain,4.58,4,767.96,1,4,3,143
12456.0,Switzerland,1.69,3,3181.04,2,3,5,235
12457.0,Cyprus,9.0,2,392.7,1,2,2,122
12457.0,Switzerland,2.56,5,1970.53,2,4,4,244
12458.0,Switzerland,5.76,2,947.4,1,2,4,124
12461.0,Switzerland,1.76,2,826.88,2,2,3,223
12462.0,Spain,4.66,2,1189.59,1,2,4,124
12463.0,Belgium,2.27,4,1344.78,2,4,4,244
12464.0,Belgium,10.57,8,1212.05,1,5,4,154
12465.0,Belgium,3.3,2,742.1899999999999,2,2,3,223
12468.0,Germany,3.46,2,729.5400000000001,2,2,3,223
12471.0,Germany,0.77,30,19824.05,3,5,5,355
12472.0,Germany,0.99,7,6572.11,3,5,5,355
12473.0,Germany,0.96,5,3938.5499999999997,3,4,5,345
12474.0,Germany,0.72,18,7375.79,3,5,5,355
12475.0,Germany,0.0,1,723.38,5,1,3,513
12476.0,Germany,1.47,11,6816.42,3,5,5,355
12477.0,Germany,0.93,6,13219.74,3,5,5,355
12478.0,Greece,0.0,1,680.99,5,1,3,513
12479.0,Germany,0.0,1,527.2,5,1,3,513
12480.0,Germany,2.01,4,3281.63,2,4,5,245
12481.0,Germany,1.57,10,5596.32,3,5,5,355
12483.0,Sweden,4.28,8,2484.98,1,5,5,155
12484.0,Spain,0.87,6,4541.72,3,5,5,355
12488.0,France,1.2,3,1298.66,3,3,4,334
12489.0,France,0.0,1,334.93,5,1,2,512
12490.0,France,1.32,10,5417.93,3,5,5,355
12491.0,France,0.0,1,460.40000000000003,5,1,2,512
12492.0,Germany,2.21,2,263.21000000000004,2,2,2,222
12493.0,France,1.48,2,433.74,3,2,2,322
12494.0,France,4.55,7,1246.1000000000001,1,5,4,154
12497.0,Germany,0.0,1,1043.1,5,1,4,514
12498.0,Germany,1.64,3,403.70000000000005,3,3,2,332
12500.0,Germany,5.12,11,4257.82,1,5,5,155
12501.0,Germany,0.0,1,2169.39,5,1,5,515
12502.0,Spain,1.46,5,3723.87,3,4,5,345
12504.0,Germany,1.5,2,482.04999999999995,3,2,2,322
12506.0,France,0.0,1,73.5,5,1,1,511
12507.0,Spain,8.2,3,1304.81,1,3,4,134
12508.0,France,0.03,2,398.27,4,2,2,422
12509.0,France,0.0,1,176.5,5,1,1,511
12510.0,Spain,5.69,2,982.5699999999999,1,2,4,124
12512.0,Israel,0.0,2,138.03,5,2,1,521
12513.0,France,0.0,1,612.29,5,1,3,513
12514.0,Italy,0.0,1,1017.68,5,1,4,514
12515.0,Italy,0.0,1,383.7,5,1,2,512
12516.0,Germany,4.08,2,1312.06,1,2,4,124
12517.0,Germany,0.57,5,2502.84,3,4,5,345
12518.0,Germany,0.88,5,2056.89,3,4,5,345
12519.0,Germany,0.0,1,340.84,5,1,2,512
12520.0,Germany,1.28,5,2634.26,3,4,5,345
12521.0,Germany,0.0,1,599.68,5,1,3,513
12522.0,Germany,1.09,2,192.72,3,2,1,321
12523.0,France,2.93,11,1789.77,2,5,4,254
12524.0,Germany,2.24,8,4485.72,2,5,5,255
12526.0,Germany,1.33,3,1316.66,3,3,4,334
12527.0,Germany,14.29,3,348.71000000000004,1,3,2,132
12528.0,Germany,3.32,6,1933.48,2,5,4,254
12530.0,Germany,4.25,4,1662.28,1,4,4,144
12531.0,Germany,0.0,1,125.22,5,1,1,511
12532.0,France,0.0,1,349.83000000000004,5,1,2,512
12534.0,Germany,0.0,1,1089.18,5,1,4,514
12535.0,France,2.85,2,716.35,2,2,3,223
12536.0,France,0.06,3,12601.830000000002,4,3,5,435
12538.0,Spain,0.0,1,363.95,5,1,2,512
12539.0,Spain,1.14,4,5568.35,3,4,5,345
12540.0,Spain,0.7,17,13400.24,3,5,5,355
12541.0,Spain,4.9,3,981.18,1,3,4,134
12544.0,Spain,0.0,1,372.7,5,1,2,512
12545.0,Spain,3.76,2,1000.39,1,2,4,124
12546.0,Spain,0.46,2,1161.5,3,2,4,324
12547.0,Spain,11.71,2,207.79999999999998,1,2,1,121
12548.0,Spain,0.0,1,95.19999999999999,5,1,1,511
12550.0,Spain,0.0,1,964.83,5,1,4,514
12551.0,Spain,0.0,1,168.0,5,1,1,511
12552.0,Italy,0.0,2,437.82,5,2,2,522
12553.0,France,1.67,10,3692.28,2,5,5,255
12556.0,Spain,0.83,2,603.71,3,2,3,323
12557.0,Spain,11.03,5,11990.960000000001,1,4,5,145
12558.0,USA,0.0,1,269.96,5,1,2,512
12559.0,Germany,0.4,2,561.71,4,2,3,423
12560.0,Germany,1.31,3,2134.01,3,3,5,335
12561.0,Germany,0.0,1,238.85,5,1,1,511
12562.0,France,1.13,7,3781.7400000000002,3,5,5,355
12564.0,France,0.0,1,456.9,5,1,2,512
12565.0,Saudi Arabia,0.0,1,145.92,5,1,1,511
12566.0,Germany,0.0,1,351.65,5,1,2,512
12567.0,France,0.77,10,9401.28,3,5,5,355
12569.0,Germany,1.27,32,4124.69,3,5,5,355
12571.0,France,2.45,2,519.61,2,2,3,223
12572.0,Germany,0.73,2,1020.42,3,2,4,324
12573.0,France,0.0,1,160.54000000000002,5,1,1,511
12574.0,France,0.0,1,218.45,5,1,1,511
12576.0,Poland,3.08,5,1315.83,2,4,4,244
12577.0,France,2.21,3,657.8,2,3,3,233
12578.0,Italy,2.73,2,2794.51,2,2,5,225
12579.0,France,0.0,1,440.42,5,1,2,512
12580.0,Germany,0.0,1,415.7,5,1,2,512
12581.0,Germany,0.0,1,197.71,5,1,1,511
12582.0,Finland,2.33,2,511.36,2,2,3,223
12583.0,France,1.48,15,7281.38,3,5,5,355
12584.0,Italy,2.86,9,2338.15,2,5,5,255
12585.0,Germany,1.36,2,2040.1,3,2,4,324
12586.0,Italy,0.0,1,196.94000000000003,5,1,1,511
12587.0,Finland,0.0,1,144.0,5,1,1,511
12588.0,Finland,0.0,1,214.89999999999998,5,1,1,511
12589.0,France,3.38,2,646.68,2,2,3,223
12590.0,Germany,0.0,2,9864.26,5,2,5,525
12591.0,Italy,0.0,1,452.84999999999997,5,1,2,512
12592.0,Germany,7.12,2,437.6,1,2,2,122
12593.0,France,5.5,3,418.09999999999997,1,3,2,132
12594.0,Italy,2.4,10,3338.2200000000003,2,5,5,255
12596.0,Spain,7.31,2,618.27,1,2,3,123
12597.0,Spain,1.21,4,3811.22,3,4,5,345
12598.0,France,2.08,8,3023.08,2,5,5,255
12599.0,France,4.46,7,1032.58,1,5,4,154
12600.0,Germany,5.38,10,2599.04,1,5,5,155
12601.0,Germany,5.22,5,577.0600000000001,1,4,3,143
12602.0,France,0.0,1,153.12,5,1,1,511
12603.0,Germany,0.0,1,739.1999999999999,5,1,3,513
12604.0,France,12.13,2,254.18,1,2,2,122
12607.0,USA,0.0,1,1579.51,5,1,4,514
12609.0,Germany,4.07,3,1126.85,1,3,4,134
12610.0,Italy,0.96,5,2099.54,3,4,5,345
12611.0,Italy,0.0,1,1193.32,5,1,4,514
12612.0,Germany,0.0,1,704.0400000000001,5,1,3,513
12613.0,Germany,1.34,5,3344.38,3,4,5,345
12614.0,Germany,0.0,1,315.6,5,1,2,512
12615.0,France,1.59,4,2291.19,3,4,5,345
12616.0,France,6.52,2,713.3,1,2,3,123
12617.0,France,0.0,1,355.53,5,1,2,512
12618.0,Italy,0.0,1,177.31,5,1,1,511
12619.0,Germany,2.64,9,3641.24,2,5,5,255
12620.0,France,2.08,3,1339.41,2,3,4,234
12621.0,Germany,0.76,20,13689.67,3,5,5,355
12622.0,Germany,0.0,1,180.1,5,1,1,511
12623.0,Germany,0.0,1,305.1,5,1,2,512
12624.0,France,1.92,2,641.13,2,2,3,223
12625.0,Germany,1.26,2,2683.82,3,2,5,325
12626.0,Germany,1.02,9,6620.48,3,5,5,355
12627.0,Germany,0.55,7,4478.53,3,5,5,355
12628.0,Germany,1.48,3,786.46,3,3,3,333
12630.0,Finland,0.54,2,1270.88,3,2,4,324
12631.0,Finland,0.0,1,640.5,5,1,3,513
12633.0,Germany,2.28,4,2163.98,2,4,5,245
12635.0,Germany,0.65,2,1689.18,3,2,4,324
12637.0,France,0.65,8,6021.9,3,5,5,355
12638.0,Sweden,0.0,1,671.69,5,1,3,513
12639.0,Sweden,0.0,1,486.1,5,1,2,512
12640.0,France,1.1,3,1174.58,3,3,4,334
12641.0,Sweden,0.0,1,185.9,5,1,1,511
12642.0,Germany,1.78,3,1013.26,2,3,4,234
12643.0,France,8.78,6,3344.64,1,5,5,155
12644.0,Germany,0.0,1,477.91,5,1,2,512
12645.0,Germany,3.9,4,1775.18,1,4,4,144
12646.0,USA,1.0,2,1346.97,3,2,4,324
12647.0,Germany,2.83,12,3722.82,2,5,5,255
12648.0,Germany,0.0,1,318.05,5,1,2,512
12649.0,Germany,3.5,3,623.51,2,3,3,233
12650.0,France,0.0,1,314.44,5,1,2,512
12651.0,France,0.0,1,114.0,5,1,1,511
12652.0,France,0.0,1,919.98,5,1,3,513
12653.0,Israel,3.5,2,2209.85,2,2,5,225
12654.0,Germany,7.65,5,601.98,1,4,3,143
12656.0,France,1.72,5,4051.17,2,4,5,245
12657.0,France,1.43,4,1643.18,3,4,4,344
12658.0,Germany,0.0,1,686.05,5,1,3,513
12659.0,France,0.0,1,91.68,5,1,1,511
12660.0,France,0.0,1,245.1,5,1,1,511
12662.0,Germany,1.61,11,3849.78,3,5,5,355
12664.0,Finland,8.61,9,4881.88,1,5,5,155
12665.0,Germany,0.0,1,63.0,5,1,1,511
12667.0,Finland,0.0,1,620.13,5,1,3,513
12668.0,Germany,2.14,4,3807.15,2,4,5,245
12669.0,France,1.05,3,2744.0299999999997,3,3,5,335
12670.0,France,2.43,5,2996.05,2,4,5,245
12672.0,France,0.0,1,225.89999999999998,5,1,1,511
12673.0,Germany,7.83,2,610.52,1,2,3,123
12674.0,France,2.06,4,1970.6,2,4,4,244
12676.0,Sweden,6.45,6,1331.39,1,5,4,154
12678.0,France,1.86,12,17628.46,2,5,5,255
12679.0,France,4.74,4,1113.02,1,4,4,144
12680.0,France,2.18,4,862.81,2,4,3,243
12681.0,France,0.54,22,13787.54,3,5,5,355
12682.0,France,0.67,31,12288.22,3,5,5,355
12683.0,France,1.04,15,8476.57,3,5,5,355
12684.0,France,1.95,7,2283.63,2,5,5,255
12685.0,France,0.4,6,2863.08,4,5,5,455
12686.0,France,0.0,1,89.14,5,1,1,511
12688.0,Israel,0.0,1,4873.8099999999995,5,1,5,515
12689.0,France,1.42,2,1247.61,3,2,4,324
12690.0,France,0.0,1,389.01,5,1,2,512
12691.0,France,10.55,6,1035.8,1,5,4,154
12693.0,Germany,5.03,4,855.91,1,4,3,143
12694.0,France,3.11,2,869.67,2,2,3,223
12695.0,France,7.73,4,582.1,1,4,3,143
12697.0,Sweden,3.48,3,957.59,2,3,4,234
12700.0,France,0.77,4,4939.99,3,4,5,345
12701.0,Germany,3.12,2,797.71,2,2,3,223
12702.0,Germany,0.0,1,219.0,5,1,1,511
12703.0,Germany,0.0,1,283.55,5,1,2,512
12704.0,Finland,1.82,8,2340.84,2,5,5,255
12705.0,Germany,1.02,9,6868.29,3,5,5,355
12707.0,France,0.0,1,603.42,5,1,3,513
12708.0,Germany,2.14,10,2712.91,2,5,5,255
12709.0,Germany,1.67,15,9736.52,2,5,5,255
12710.0,Germany,1.36,3,1149.02,3,3,4,334
12712.0,Germany,2.55,13,4396.13,2,5,5,255
12713.0,Germany,0.0,1,848.55,5,1,3,513
12714.0,France,1.1,5,4708.86,3,4,5,345
12715.0,Sweden,0.0,1,353.86,5,1,2,512
12716.0,France,1.9,2,1053.49,2,2,4,224
12717.0,Greece,1.74,2,1030.98,2,2,4,224
12718.0,France,0.0,1,238.25,5,1,1,511
12719.0,France,1.55,2,644.95,3,2,3,323
12720.0,Germany,1.01,25,5781.73,3,5,5,355
12721.0,France,2.0,6,2656.13,2,5,5,255
12722.0,France,1.21,4,997.63,3,4,4,344
12723.0,France,0.88,5,725.07,3,4,3,343
12724.0,France,6.25,4,1031.41,1,4,4,144
12725.0,Italy,0.0,1,427.8,5,1,2,512
12726.0,France,2.64,7,2609.1,2,5,5,255
12727.0,France,2.22,7,3980.7,2,5,5,255
12728.0,France,5.78,4,836.33,1,4,3,143
12729.0,France,0.0,1,453.01,5,1,2,512
12731.0,France,1.23,12,18895.91,3,5,5,355
12732.0,France,0.0,1,236.26000000000002,5,1,1,511
12733.0,USA,0.0,1,383.95,5,1,2,512
12734.0,France,0.0,1,110.39999999999999,5,1,1,511
12735.0,France,0.5,2,779.5699999999999,3,2,3,323
12736.0,France,0.0,1,234.0,5,1,1,511
12738.0,Germany,0.0,1,155.35,5,1,1,511
12739.0,United Arab Emirates,0.54,2,1013.04,3,2,4,324
12740.0,France,0.0,1,427.6,5,1,2,512
12743.0,Unspecified,0.0,2,546.43,5,2,3,523
12744.0,Singapore,1.19,7,21279.29,3,5,5,355
12747.0,United Kingdom,3.56,11,4196.01,2,5,5,255
12748.0,United Kingdom,0.06,209,33719.73,4,5,5,455
12749.0,United Kingdom,1.05,5,4090.88,3,4,5,345
12750.0,Poland,0.0,1,275.88,5,1,2,512
12752.0,Norway,0.0,1,4366.78,5,1,5,515
12753.0,Japan,1.72,6,21429.39,2,5,5,255
12754.0,Japan,1.16,3,3010.74,3,3,5,335
12755.0,Japan,28.33,2,3811.95,1,2,5,125
12756.0,Japan,0.0,1,112.07999999999998,5,1,1,511
12757.0,Portugal,0.51,13,7857.1,3,5,5,355
12758.0,Portugal,1.66,2,2791.59,2,2,5,225
12759.0,Netherlands,2.37,3,1531.44,2,3,4,234
12762.0,Portugal,0.25,2,1898.52,4,2,4,424
12763.0,Japan,13.53,2,494.08,1,2,3,123
12764.0,Lebanon,0.0,1,1693.88,5,1,4,514
12766.0,Portugal,1.17,7,6989.63,3,5,5,355
12769.0,Brazil,0.0,1,1143.6,5,1,4,514
12770.0,Japan,0.0,1,1351.45,5,1,4,514
12772.0,Portugal,0.0,1,892.47,5,1,3,513
12775.0,Netherlands,4.49,5,1386.04,1,4,4,144
12778.0,Netherlands,5.92,6,822.23,1,5,3,153
12779.0,Poland,2.23,8,3981.36,2,5,5,255
12781.0,Czech Republic,9.21,2,826.74,1,2,3,123
12782.0,Portugal,3.43,5,2330.92,2,4,5,245
12783.0,Portugal,0.86,6,2225.91,3,5,5,355
12784.0,Portugal,0.1,2,574.42,4,2,3,423
12785.0,Portugal,0.0,1,311.95,5,1,2,512
12787.0,Netherlands,9.58,3,463.66,1,3,2,132
12789.0,Netherlands,0.0,1,91.85,5,1,1,511
12790.0,Netherlands,0.0,1,324.92,5,1,2,512
12791.0,Netherlands,0.0,1,192.60000000000002,5,1,1,511
12792.0,Portugal,0.0,1,400.53999999999996,5,1,2,512
12793.0,Portugal,1.57,2,545.48,3,2,3,323
12794.0,Portugal,1.02,2,860.41,3,2,3,323
12795.0,Portugal,0.0,1,430.48,5,1,2,512
12797.0,Portugal,0.0,1,254.03,5,1,2,512
12798.0,Japan,22.86,3,6977.04,1,3,5,135
12802.0,Netherlands,0.0,1,427.58,5,1,2,512
12808.0,Portugal,12.26,3,483.65000000000003,1,3,2,132
12809.0,Portugal,0.0,1,489.31,5,1,3,513
12811.0,Portugal,0.73,3,514.85,3,3,3,333
12812.0,Japan,0.0,1,229.64000000000001,5,1,1,511
12814.0,Poland,0.0,1,125.92,5,1,1,511
12815.0,Poland,1.09,2,1063.46,3,2,4,324
12816.0,Poland,2.86,2,572.2,2,2,3,223
12817.0,Austria,0.0,1,166.04,5,1,1,511
12818.0,Austria,0.0,1,1542.08,5,1,4,514
12820.0,United Kingdom,5.55,4,942.34,1,4,4,144
12821.0,United Kingdom,0.0,1,92.72,5,1,1,511
12822.0,United Kingdom,0.36,2,948.88,4,2,4,424
12823.0,United Kingdom,55.0,5,1759.5,1,4,4,144
12824.0,United Kingdom,0.0,1,397.12,5,1,2,512
12826.0,United Kingdom,3.99,7,1474.72,1,5,4,154
12827.0,United Kingdom,1.58,3,430.15000000000003,3,3,2,332
12828.0,United Kingdom,2.27,6,1018.71,2,5,4,254
12829.0,United Kingdom,2.3,2,293.0,2,2,2,222
12830.0,United Kingdom,3.54,6,6814.64,2,5,5,255
12831.0,United Kingdom,0.0,1,215.05,5,1,1,511
12832.0,United Kingdom,2.5,2,383.03,2,2,2,222
12833.0,United Kingdom,0.0,1,417.38,5,1,2,512
12834.0,United Kingdom,0.0,1,312.38,5,1,2,512
12836.0,United Kingdom,1.44,4,2612.86,3,4,5,345
12837.0,United Kingdom,0.0,1,134.1,5,1,1,511
12838.0,United Kingdom,2.79,2,683.13,2,2,3,223
12839.0,United Kingdom,1.15,14,5591.42,3,5,5,355
12840.0,United Kingdom,0.72,4,2726.77,3,4,5,345
12841.0,United Kingdom,0.85,25,4022.35,3,5,5,355
12842.0,United Kingdom,7.21,2,1118.99,1,2,4,124
12843.0,United Kingdom,1.9,8,1702.26,2,5,4,254
12844.0,United Kingdom,1.98,2,325.96000000000004,2,2,2,222
12845.0,United Kingdom,0.85,4,354.09,3,4,2,342
12847.0,United Kingdom,0.0,1,871.54,5,1,3,513
12849.0,United Kingdom,4.74,2,1050.8899999999999,1,2,4,124
12851.0,United Kingdom,0.0,1,135.18,5,1,1,511
12852.0,United Kingdom,0.0,1,311.55,5,1,2,512
12853.0,United Kingdom,2.34,6,1957.1000000000001,2,5,4,254
12854.0,United Kingdom,2.19,3,1324.5,2,3,4,234
12855.0,United Kingdom,0.0,1,38.1,5,1,1,511
12856.0,United Kingdom,0.17,6,2179.93,4,5,5,455
12857.0,United Kingdom,2.02,2,1106.4,2,2,4,224
12863.0,United Kingdom,0.0,1,521.2,5,1,3,513
12864.0,United Kingdom,0.0,1,147.12,5,1,1,511
12865.0,Austria,1.03,2,1568.23,3,2,4,324
12866.0,Belgium,0.0,1,559.12,5,1,3,513
12867.0,United Kingdom,0.61,7,4036.82,3,5,5,355
12868.0,United Kingdom,1.75,6,1607.0600000000002,2,5,4,254
12871.0,United Kingdom,12.3,2,380.64,1,2,2,122
12872.0,United Kingdom,0.58,2,599.97,3,2,3,323
12873.0,United Kingdom,0.0,1,374.0,5,1,2,512
12875.0,United Kingdom,219.0,2,343.2300000000001,1,2,2,122
12876.0,Belgium,1.64,2,2218.02,3,2,5,325
12877.0,United Kingdom,2.27,12,1535.77,2,5,4,254
12878.0,United Kingdom,0.63,2,854.99,3,2,3,323
12879.0,United Kingdom,5.11,3,573.22,1,3,3,133
12881.0,United Kingdom,0.0,1,298.0,5,1,2,512
12882.0,United Kingdom,2.0,2,1463.04,2,2,4,224
12883.0,United Kingdom,1.56,4,703.47,3,4,3,343
12884.0,United Kingdom,0.0,1,309.05,5,1,2,512
12885.0,United Kingdom,0.86,3,1175.22,3,3,4,334
12886.0,United Kingdom,1.86,2,1378.4,2,2,4,224
12888.0,United Kingdom,10.25,2,354.12,1,2,2,122
12890.0,United Kingdom,0.0,1,380.46999999999997,5,1,2,512
12891.0,United Kingdom,53.5,3,331.0,1,3,2,132
12893.0,United Kingdom,0.0,1,188.14,5,1,1,511
12895.0,United Kingdom,2.1,2,372.8,2,2,2,222
12897.0,United Kingdom,32.33,2,216.5,1,2,1,121
12901.0,United Kingdom,2.17,28,17654.54,2,5,5,255
12902.0,United Kingdom,0.0,1,138.68,5,1,1,511
12904.0,United Kingdom,2.17,2,509.58,2,2,3,223
12906.0,United Kingdom,1.06,5,2919.81,3,4,5,345
12908.0,United Kingdom,136.0,2,750.0,1,2,3,123
12909.0,United Kingdom,2.37,5,2178.67,2,4,5,245
12910.0,United Kingdom,2.93,8,3075.04,2,5,5,255
12912.0,United Kingdom,1.52,5,1662.3,3,4,4,344
12913.0,United Kingdom,7.37,5,2483.63,1,4,5,145
12915.0,United Kingdom,10.62,2,363.65,1,2,2,122
12916.0,United Kingdom,1.7,4,3006.15,2,4,5,245
12917.0,United Kingdom,0.0,1,594.0,5,1,3,513
12919.0,United Kingdom,3.24,6,1335.19,2,5,4,254
12920.0,United Kingdom,0.0,1,164.23,5,1,1,511
12921.0,United Kingdom,0.49,37,16587.09,3,5,5,355
12922.0,United Kingdom,0.0,1,405.38,5,1,2,512
12923.0,United Kingdom,0.0,1,176.97,5,1,1,511
12924.0,United Kingdom,8.21,4,933.7,1,4,3,143
12925.0,United Kingdom,1.59,2,694.05,3,2,3,323
12928.0,United Kingdom,3.88,5,2062.7000000000003,1,4,5,145
12929.0,United Kingdom,0.0,1,117.85,5,1,1,511
12930.0,United Kingdom,3.88,2,415.8,1,2,2,122
12931.0,United Kingdom,4.07,15,42055.96,1,5,5,155
12933.0,United Kingdom,2.47,3,607.53,2,3,3,233
12935.0,United Kingdom,2.45,7,2160.7,2,5,5,255
12936.0,United Kingdom,0.98,4,1063.9,3,4,4,344
12937.0,United Kingdom,2.11,4,1504.27,2,4,4,244
12938.0,United Kingdom,0.0,1,114.14,5,1,1,511
12939.0,United Kingdom,5.83,8,11581.8,1,5,5,155
12940.0,United Kingdom,0.34,2,913.54,4,2,3,423
12942.0,United Kingdom,3.16,3,683.9,2,3,3,233
12944.0,United Kingdom,11.0,2,604.51,1,2,3,123
12945.0,United Kingdom,0.0,1,462.95,5,1,2,512
12947.0,United Kingdom,2.38,6,1603.99,2,5,4,254
12948.0,United Kingdom,2.15,7,2064.95,2,5,5,255
12949.0,United Kingdom,1.03,8,4167.22,3,5,5,355
12950.0,United Kingdom,0.95,3,1843.0,3,3,4,334
12951.0,United Kingdom,5.15,6,1064.07,1,5,4,154
12952.0,United Kingdom,0.92,4,1387.79,3,4,4,344
12953.0,United Kingdom,0.0,1,329.85,5,1,2,512
12955.0,United Kingdom,1.47,11,4757.16,3,5,5,355
12956.0,United Kingdom,0.0,1,108.07,5,1,1,511
12957.0,United Kingdom,1.38,8,4017.54,3,5,5,355
12962.0,United Kingdom,7.07,2,266.39,1,2,2,122
12963.0,United Kingdom,3.76,8,1856.63,1,5,4,154
12965.0,United Kingdom,0.0,1,771.91,5,1,3,513
12966.0,United Kingdom,0.0,1,160.18,5,1,1,511
12967.0,United Kingdom,0.72,2,1660.9,3,2,4,324
